,Lactate production (mol/mol),lactate yield (g/g),Growth rate,Yield
0,0.0,0.0,0.12613066205444617,0.07001191303894745
1,0.06,0.030000666089389193,0.12498327792889087,0.06937502937947716
2,0.12,0.060001332178778385,0.12383589380330352,0.06873814571998908
3,0.18,0.09000199826816757,0.12268850967771619,0.068101262060501
4,0.24,0.12000266435755677,0.12154112555212891,0.06746437840101296
5,0.3,0.15000333044694594,0.12039374142651706,0.06682749474151127
6,0.36,0.18000399653633514,0.11924635730092625,0.06619061108202128
7,0.42000000000000004,0.21000466262572437,0.11809897317533803,0.06555372742253271
8,0.48,0.24000532871511354,0.1169515890497529,0.06491684376304585
9,0.5399999999999999,0.2700059948045027,0.11580420492416672,0.06427996010355842
10,0.6,0.3000066608938919,0.11465682079858176,0.06364307644407168
11,0.6599999999999999,0.33000732698328106,0.11350943667299555,0.06300619278458422
12,0.72,0.3600079930726703,0.11236205254740879,0.06236930912509646
13,0.78,0.39000865916205957,0.11121466842182356,0.06173242546560956
14,0.8400000000000001,0.42000932525144874,0.11006728429623737,0.06109554180612212
15,0.9,0.45000999134083786,0.10891990017065215,0.060458658146635216
16,0.96,0.4800106574302271,0.10777251604506474,0.0598217744871471
17,1.02,0.5100113235196163,0.10662513191947846,0.05918489082765962
18,1.0799999999999998,0.5400119896090054,0.10547774779389234,0.05854800716817221
19,1.1400000000000001,0.5700126556983948,0.10433036366830616,0.057911123508684784
20,1.2,0.6000133217877838,0.1031829795427196,0.05727423984919714
21,1.26,0.6300139878771731,0.10203559541712172,0.05663735618970321
22,1.3199999999999998,0.6600146539665621,0.10088821129153583,0.056000472530215936
23,1.38,0.6900153200559515,0.09974082716594976,0.05536358887072857
24,1.44,0.7200159861453406,0.09859344304037577,0.0547267052112479
25,1.5,0.7500166522347298,0.0974460589147894,0.054089821551760356
26,1.56,0.7800173183241191,0.0962986747891914,0.053452937892266364
27,1.6199999999999999,0.8100179844135083,0.09515129066360521,0.05281605423277893
28,1.6800000000000002,0.8400186505028975,0.09400390653803063,0.052179170573297934
29,1.7399999999999998,0.8700193165922865,0.0928565224124425,0.05154228691380941
30,1.8,0.9000199826816757,0.09093446488649981,0.05047540181093042
31,1.8599999999999999,0.9300206487710648,0.08885379100473738,0.04932047281508103
32,1.92,0.9600213148604542,0.06361543584790562,0.03531130567280891
33,1.98,0.9900219809498433,0.01590385896197692,0.008827826418202513
34,2.04,1.0200226470392326,0.0,0.0
35,2.1,1.0500233131286218,0.0,0.0
36,2.1599999999999997,1.0800239792180109,0.0,0.0
37,2.2199999999999998,1.1100246453073999,0.0,0.0
38,2.2800000000000002,1.1400253113967895,0.0,0.0
39,2.34,1.1700259774861785,0.0,0.0
40,2.4,1.2000266435755675,0.0,0.0
41,2.46,1.2300273096649568,0.0,0.0
42,2.52,1.2600279757543462,0.0,0.0
43,2.58,1.2900286418437352,0.0,0.0
44,2.6399999999999997,1.3200293079331242,0.0,0.0
45,2.7,1.3500299740225137,0.0,0.0
46,2.76,1.380030640111903,0.0,0.0
47,2.82,1.410031306201292,0.0,0.0
48,2.88,1.4400319722906811,0.0,0.0
49,2.94,1.4700326383800706,0.0,0.0
50,3.0,1.5000333044694596,0.0,0.0
